Fraction Removed,LCC Size,Number of Components
0.1926,5,823
0.1928,5,824
0.1930,5,825
0.1932,5,826
0.1934,5,827
0.1936,5,828
0.1938,5,829
0.1940,5,830
0.1942,5,831
0.1944,5,832
0.1946,5,833
0.1948,4,834
0.1950,4,836
0.1952,4,838
0.1954,4,840
0.1956,4,842
0.1958,4,844
0.1960,4,846
0.1962,4,848
0.1964,4,850
0.1966,4,852
0.1968,4,854
0.1970,4,856
0.1972,4,858
0.1974,4,860
0.1976,4,862
0.1978,4,864
0.1980,4,866
0.1982,4,868
0.1984,4,870
0.1986,4,872
0.1988,4,874
0.1990,4,876
0.1992,4,878
0.1994,4,880
0.1996,4,882
0.1998,4,884
0.2000,4,885
0.2002,4,886
0.2004,4,887
0.2006,4,888
0.2008,4,889
0.2010,4,890
0.2012,4,891
0.2014,4,892
0.2016,4,893
0.2018,4,894
0.2020,4,895
0.2022,4,896
0.2024,4,897
0.2026,4,898
0.2028,4,899
0.2030,4,900
0.2032,4,901
0.2034,4,902
0.2036,4,903
0.2038,4,904
0.2040,4,905
0.2042,4,906
0.2044,4,907
0.2046,4,908
0.2048,4,909
0.2050,4,910
0.2052,4,911
0.2054,4,912
0.2056,4,913
0.2058,4,914
0.2060,4,915
0.2062,4,916
0.2064,4,917
0.2066,4,918
0.2068,4,919
0.2070,4,920
0.2072,4,921
0.2074,4,922
0.2076,4,923
0.2078,4,924
0.2080,4,925
0.2082,4,926
0.2084,4,927
0.2086,4,928
0.2088,4,929
0.2090,4,930
0.2092,4,931
0.2094,4,932
0.2096,4,933
0.2098,4,934
0.2100,4,935
0.2102,4,936
0.2104,4,937
0.2106,4,938
0.2108,4,939
0.2110,4,940
0.2112,4,941
0.2114,4,942
0.2116,3,943
0.2118,3,944
0.2120,3,945
0.2122,3,946
0.2124,3,947
0.2126,3,948
0.2128,3,949
0.2130,3,950
0.2132,3,951
0.2134,3,952
0.2136,3,953
0.2138,3,954
0.2140,3,955
0.2142,3,956
0.2144,3,957
0.2146,3,958
0.2148,3,959
0.2150,3,960
0.2152,3,961
0.2154,3,962
0.2156,3,963
0.2158,3,964
0.2160,3,965
0.2162,3,966
0.2164,3,967
0.2166,3,968
0.2168,3,969
0.2170,3,970
0.2172,3,971
0.2174,3,972
0.2176,3,973
0.2178,3,974
0.2180,3,975
0.2182,3,976
0.2184,3,977
0.2186,3,978
0.2188,3,979
0.2190,3,980
0.2192,3,981
0.2194,3,982
0.2196,3,983
0.2198,3,984
0.2200,3,985
0.2202,3,986
0.2204,3,987
0.2206,3,988
0.2208,3,989
0.2210,3,990
0.2212,3,991
0.2214,3,992
0.2216,3,993
0.2218,3,994
0.2220,3,995
0.2222,3,996
0.2224,3,997
0.2226,3,998
0.2228,3,999
0.2230,3,1000
0.2232,3,1001
0.2234,3,1002
0.2236,3,1003
0.2238,3,1004
0.2240,3,1005
0.2242,3,1006
0.2244,3,1007
0.2246,3,1008
0.2248,3,1009
0.2250,3,1010
0.2252,3,1011
0.2254,3,1012
0.2256,3,1013
0.2258,3,1014
0.2260,3,1015
0.2262,3,1016
0.2264,3,1017
0.2266,3,1018
0.2268,3,1019
0.2270,3,1020
0.2272,3,1021
0.2274,3,1022
0.2276,3,1023
0.2278,3,1024
0.2280,3,1025
0.2282,3,1026
0.2284,3,1027
0.2286,3,1028
0.2288,3,1029
0.2290,3,1030
0.2292,3,1031
