Fraction Removed,LCC Size,Number of Components
0.2164,974,54
0.2166,969,55
0.2168,968,55
0.2170,967,55
0.2172,966,55
0.2174,965,55
0.2176,965,56
0.2178,964,56
0.2180,963,56
0.2182,963,56
0.2184,963,56
0.2186,962,56
0.2188,918,57
0.2190,858,58
0.2192,857,58
0.2194,856,58
0.2196,856,58
0.2198,747,60
0.2200,745,61
0.2202,745,62
0.2204,744,62
0.2206,744,62
0.2208,743,62
0.2210,743,62
0.2212,743,62
0.2214,742,62
0.2216,741,62
0.2218,740,62
0.2220,740,62
0.2222,740,62
0.2224,739,62
0.2226,738,62
0.2228,737,62
0.2230,736,62
0.2232,736,62
0.2234,736,63
0.2236,735,63
0.2238,735,63
0.2240,735,63
0.2242,734,63
0.2244,733,63
0.2246,733,64
0.2248,733,64
0.2250,732,64
0.2252,732,64
0.2254,732,65
0.2256,732,65
0.2258,732,65
0.2260,729,66
0.2262,729,65
0.2264,728,65
0.2266,728,66
0.2268,715,67
0.2270,714,67
0.2272,713,67
0.2274,712,67
0.2276,712,67
0.2278,711,67
0.2280,710,67
0.2282,709,67
0.2284,709,67
0.2286,708,67
0.2288,707,67
0.2290,706,67
0.2292,705,67
0.2294,702,68
0.2296,701,68
0.2298,700,68
0.2300,699,68
0.2302,698,68
0.2304,697,68
0.2306,697,68
0.2308,697,70
0.2310,696,70
0.2312,695,70
0.2314,695,70
0.2316,695,70
0.2318,695,70
0.2320,694,70
0.2322,694,70
0.2324,693,70
0.2326,693,71
0.2328,693,71
0.2330,684,72
0.2332,684,72
0.2334,683,72
0.2336,682,72
0.2338,682,72
0.2340,682,72
0.2342,681,72
0.2344,680,72
0.2346,679,72
0.2348,679,72
0.2350,678,72
0.2352,677,72
0.2354,550,73
0.2356,549,73
0.2358,549,74
0.2360,549,74
0.2362,549,74
0.2364,541,75
0.2366,541,75
0.2368,540,75
0.2370,540,75
0.2372,540,75
0.2374,539,75
0.2376,539,75
0.2378,539,75
0.2380,538,75
0.2382,538,75
0.2384,538,75
0.2386,537,75
0.2388,537,75
0.2390,537,76
0.2392,537,76
0.2394,537,76
0.2396,537,76
0.2398,537,77
0.2400,537,78
0.2402,537,78
0.2404,529,79
0.2406,528,79
0.2408,528,79
0.2410,528,79
0.2412,528,79
0.2414,527,79
0.2416,526,79
0.2418,525,79
0.2420,525,79
0.2422,524,79
0.2424,524,79
0.2426,523,79
0.2428,523,79
0.2430,523,79
0.2432,523,80
0.2434,523,80
0.2436,521,81
0.2438,521,81
0.2440,521,81
0.2442,521,81
0.2444,521,81
0.2446,521,81
0.2448,521,81
0.2450,521,82
0.2452,520,82
0.2454,520,82
0.2456,520,82
0.2458,519,82
0.2460,519,82
0.2462,519,83
0.2464,519,83
0.2466,518,83
0.2468,518,83
0.2470,518,83
0.2472,518,83
0.2474,518,83
0.2476,518,83
0.2478,517,83
0.2480,517,83
0.2482,514,84
0.2484,514,85
0.2486,514,85
0.2488,514,85
0.2490,514,85
0.2492,514,85
0.2494,514,85
0.2496,514,85
0.2498,514,85
0.2500,514,85
0.2502,505,86
0.2504,504,86
0.2506,504,87
0.2508,504,87
0.2510,501,88
0.2512,501,88
0.2514,501,88
0.2516,501,88
0.2518,501,88
0.2520,501,88
0.2522,500,88
0.2524,500,88
0.2526,500,88
0.2528,499,88
0.2530,328,89
0.2532,327,89
0.2534,326,89
0.2536,326,89
0.2538,326,89
0.2540,326,90
0.2542,326,91
0.2544,326,92
0.2546,325,92
0.2548,325,92
0.2550,325,93
0.2552,325,93
0.2554,190,94
0.2556,190,94
0.2558,190,94
0.2560,190,94
0.2562,190,94
0.2564,190,94
0.2566,190,94
0.2568,190,94
0.2570,190,95
0.2572,190,95
0.2574,190,95
0.2576,190,95
0.2578,190,95
0.2580,190,96
0.2582,190,95
0.2584,190,95
0.2586,190,95
0.2588,190,95
0.2590,190,95
0.2592,190,95
0.2594,190,95
0.2596,190,95
0.2598,190,95
0.2600,190,95
0.2602,190,95
0.2604,190,95
0.2606,190,95
0.2608,190,94
0.2610,190,95
0.2612,190,96
0.2614,190,96
0.2616,190,96
0.2618,190,96
0.2620,189,96
0.2622,189,96
0.2624,189,96
0.2626,189,96
0.2628,189,96
0.2630,189,96
0.2632,189,96
0.2634,189,96
0.2636,186,97
0.2638,180,98
0.2640,180,98
0.2642,180,99
0.2644,180,99
0.2646,180,99
0.2648,180,99
0.2650,180,99
0.2652,180,99
0.2654,180,100
0.2656,174,101
0.2658,173,101
0.2660,172,101
0.2662,172,101
0.2664,172,101
0.2666,172,101
0.2668,172,101
0.2670,172,102
0.2672,172,102
0.2674,172,102
0.2676,172,102
0.2678,172,103
0.2680,172,103
0.2682,172,103
0.2684,171,103
0.2686,171,104
0.2688,171,105
0.2690,171,105
0.2692,171,105
0.2694,171,105
0.2696,171,106
0.2698,171,107
0.2700,171,107
0.2702,171,107
0.2704,171,107
0.2706,171,107
0.2708,171,107
0.2710,171,107
0.2712,171,107
0.2714,160,108
0.2716,159,108
0.2718,159,108
0.2720,159,109
0.2722,159,110
0.2724,157,111
0.2726,157,111
0.2728,157,111
0.2730,157,110
0.2732,157,110
0.2734,157,110
0.2736,157,110
0.2738,157,111
0.2740,157,111
0.2742,157,111
0.2744,156,111
0.2746,156,113
0.2748,156,113
0.2750,156,113
0.2752,156,114
0.2754,156,114
0.2756,156,115
0.2758,156,116
0.2760,156,116
0.2762,156,116
0.2764,156,118
0.2766,156,118
0.2768,155,118
0.2770,155,118
0.2772,155,118
0.2774,155,118
0.2776,155,118
0.2778,155,119
0.2780,155,120
0.2782,155,120
0.2784,155,120
0.2786,155,120
0.2788,155,120
0.2790,155,120
0.2792,155,120
0.2794,155,120
0.2796,155,120
0.2798,155,121
0.2800,155,122
0.2802,155,123
0.2804,155,123
0.2806,154,123
0.2808,154,123
0.2810,154,123
0.2812,154,123
0.2814,154,123
0.2816,154,124
0.2818,154,124
0.2820,154,125
0.2822,154,125
0.2824,128,126
0.2826,128,126
0.2828,127,126
0.2830,127,126
0.2832,127,126
0.2834,127,126
0.2836,127,126
0.2838,127,126
0.2840,127,126
0.2842,127,126
0.2844,127,126
0.2846,127,125
